What is the capital of Norway?,Oslo
What is the capital of the EU?,Brussels
What is the capital of France?,Paris
What is the capital of Italy?,Rome
What is the capital of Liechtenstein?,Vaduz
What is the capital of Austria?,Vienna
What is the capital of Germany?,Berlin
What is the capital of Switzerland?,Bern
What is the capital of Spain?,Madrid
What is the capital of Portugal?,Lisbon
What is the capital of Egypt?,Cairo
What is the capital of the Netherlands?,Amsterdam
What is the capital of England?,London
What is the capital of the United Kingdom?,London
What is the capital of Belgium?,Brussels
What is the capital of Finland?,Helsinki
What is the capital of the United States?,"Washington, D.C."
What is the capital of Croatia?,Zagreb
What is the capital of Russia?,Moscow
What is the capital of Argentina?,Buenos Aires
What is the capital of China?,Beijing
What is the capital of Japan?,Tokyo
What is the capital of Mexico?,Mexico City
What is the capital of Ireland?,Dublin
What is the capital of Australia?,Canberra
What is the capital of Indonesia?,Jakarta
What is the capital of Canada?,Ottawa
What is the capital of the Philippines?,Manila
What is the capital of Wales?,Cardiff
What is the capital of India?,New Delhi
What is the capital of Kenya?,Nairobi
What is the capital of the Democratic Republic of Congo?,Kinshasa
What is the capital of Ethiopia?,Addis Ababa
What is the capital of South Africa?,Pretoria
What is the capital of Greece?,Athens
What is the capital of Singapore?,Singapore
What is the capital of Sweden?,Stockholm
What is the capital of Denmark?,Copenhagen
What is the capital of Brazil?,Brasilia
What is the capital of Cuba?,Havana
