Where was the Roman Senate located?,Forum
What famous emperor was stabbed by the Senate?,Julius Caesar
What arena was sometimes flooded for special sea games?,Circus Maximus
What emperor said he found a city of stone and left a city of marble?,Augustus
What special place often held gladiator games?,Colosseum
Who was the first pope?,Saint Peter
What is the smallest country in the world?,Vatican
Where does the pope live?,Vatican
What is the pope's church?,Saint Peter's
"What place means ""all the gods""?",Pantheon
What's the river that goes through Rome?,Tiber
What famous Egyptian had a child with a Roman emperor?,Cleopatra
What are the really big steps that make a good meeting place?,Spanish Steps
What's the perfect Roman treat to eat?,gelato
